nombre,id,lat,lon
Jet Set,ChIJURSVFYsnQg0RZtPiUZOA_X4,40.3899811,-3.7399377
Bar donde Mila,ChIJI1a8rz8nQg0R8Qz7mlrjkfk,40.38833890000001,-3.7402859
DONDE LIVIA BAR 38,ChIJt2LOJtMnQg0R_fWqQHSzHTY,40.38833890000001,-3.7402859
Restaurante San José,ChIJ-X48ToonQg0RfFg51d5Nir0,40.3887943,-3.7408056
Nonna Ágata,ChIJ1Run1EknQg0R3EEzGF6Pqis,40.3879617,-3.739165
Bar Restaurante El Prado Prado,ChIJ_0gCYSQnQg0RrVw9y_R7WH0,40.3893351,-3.7380517
Restaurante Pinchos y Tapas,ChIJ21JEuosnQg0RaHX37GLGD2Y,40.3879491,-3.7402262
Restaurante RICO CHIMBOTE,ChIJh-HL09QnQg0RGXg0XCD3lbA,40.3882669,-3.7382532
Restaurante y Pupusería Sivar,ChIJOy6vAX0nQg0RRA9EFsJeLm8,40.38819,-3.7382526
Cafeteria El Maño,ChIJ9R9piIsnQg0RzHVBoIXJf1g,40.38819,-3.7382526
IBUé,ChIJqSmShoQnQg0RBZfDR2-3eIM,40.39060500000001,-3.7396548
llaollao,ChIJP70GdLonQg0Rpcp0qswhMW8,40.38843629999999,-3.7415503
Tierra Burrito Bar,ChIJ3djNtRAnQg0RZvcxRBKo8oY,40.38758809999999,-3.7387548
La Vasija,ChIJnxqx4P4nQg0R67gaATaVRjo,40.390122,-3.7413122
Café 77 Bar,ChIJmwKQT4snQg0RByWtzfmf6c4,40.3907687,-3.7391815
Friends & Food,ChIJp4e7i4wnQg0RLEQHupdXnoM,40.38913489999999,-3.737356799999999
Bar Cafeteria Restaurante Mister Estambul,ChIJ-W9mjIwnQg0RSJMbk2ngbQY,40.3892575,-3.7373542
DonD' ALE,ChIJ80picwAnQg0RRj1n66HbXpA,40.3903299,-3.737906599999999
Alejandro Pollería Selecta,ChIJu8B8BrcnQg0RMaycBe5FofA,40.3894824,-3.7419618
Fernando,ChIJpTbA7YonQg0Ri5FF8TqAu1c,40.389442,-3.741987999999999
Restaurante Chino FEITENG,ChIJyckylIwnQg0RcDRxwyVNntM,40.3899846,-3.7374342
Panadería Colombiana Ricuras del Pandebono,ChIJx8y8VmsnQg0RhkdWk-sZsZg,40.3890159,-3.7421516
Restaurante La Madreña Santa Lucrecia,ChIJFxKKG7wnQg0RNYE_E60EZ7g,40.3867295,-3.718810499999999
Restaurante World,ChIJo3OI7JYnQg0RGV2mWtE-9v8,40.3851995,-3.726708799999999
Bar Alfonsillo,ChIJwXyYMZEnQg0Rb9hEHqaxtO8,40.3849189,-3.7285735
Restaurante La Ochava,ChIJp5yXPZUnQg0RCkzjW-TmHUk,40.39066529999999,-3.724976099999999
La Gamba Dorada Restaurante Cafetería,ChIJaeBlaJUnQg0RFZm456XixPE,40.3904514,-3.723814199999999
Obrador Latino panadería y pastelaría,ChIJdbqgS5UnQg0R2sOL5Cpygk0,40.39168009999999,-3.7242489
BAR CAFETERIA CARUL,ChIJvVOXjL0nQg0RBteskUNtqFs,40.3854716,-3.7228555
Burger King,ChIJo1vdm-onQg0RuPD8i5LaEWQ,40.3934729,-3.7232462
Mesón A Casiña,ChIJbYvKyL0nQg0R981bqgVos40,40.3859085,-3.7212561
Panaderia Colombiana,ChIJ-wuy070nQg0Rq92rDo67JrM,40.38637429999999,-3.7209552
El Pollo Loko,ChIJK5b2LsAnQg0RBnjevtVSu8o,40.39419559999999,-3.722632299999999
El Rondador,ChIJp2fKgcAnQg0RpK74fsFjsO0,40.39203819999999,-3.7204921
Doner Kebab Abrantes,ChIJE0Q8XpcnQg0RY-0J-CFqbGA,40.38179399999999,-3.7271083
Cervecerías La Sureña y 100 Montaditos,ChIJFeJrM8AnQg0R-TJzlm6K-7M,40.3943518,-3.7223138
Restaurante Tropicalissima,ChIJdak3S7wnQg0RMcpXh3QKCtQ,40.3854395,-3.720673299999999
Apolo café & restaurante,ChIJI6itLpEnQg0ROcgVTxI1MRo,40.3844467,-3.7285591
Telepizza General Ricardos II - Comida a Domicilio,ChIJfxtuHsQnQg0Rigjd-1wmzKA,40.3945008,-3.7213565
Telepizza Abrantes - Comida a Domicilio,ChIJEeTZ4pknQg0RCEn5Mt1trAk,40.3814938,-3.7274604
Canaletto,ChIJM4umh5AnQg0RMfHVSeufp8I,40.3818674,-3.7307846
Cafetería Restaurante El Faro,ChIJkxQaZ5cnQg0RN5Vr4D8gOhQ,40.3820077,-3.72689
La paceñita,ChIJradfVAInQg0RTCTox1Nx7Dw,40.3887511,-3.729026100000001
Estación Perú - OPORTO-,ChIJ5yf1sdMnQg0RvC9hR_tOcLI,40.3898316,-3.729442399999999
classic kebap & cafe,ChIJ3bAQQJEnQg0R6lC8q6JtwpU,40.38957469999999,-3.730400199999999
La Bajada Street Food & GO - Oporto - Restaurante Peruano,ChIJY8qruUwnQg0RBRWTPbCt2UU,40.3899002,-3.729407699999999
Chicken Loco,ChIJOxQAbZMnQg0ROyA9fxf-2Kc,40.3899233,-3.7293916
O'Pizza,ChIJbeluZJknQg0RHrzXmfw2KA4,40.38943159999999,-3.7306206
"Olé Perú, Cafetería & Restaurante",ChIJBy5ri2EnQg0RxgcLM7680Iw,40.3893172,-3.7307937
Café de Oporto,ChIJPUsJ03InQg0RDQxKWjW67dY,40.3892835,-3.7308468
Doner Kebap - Nemrut,ChIJndJMtJMnQg0RLdiGp0bW4B8,40.3884765,-3.730567000000001
Gran Nemrut Oporto,ChIJJ5h6rZMnQg0Rwlyc5MRsQO0,40.3884634,-3.7306672
Sidreria Yakarta,ChIJAYFWVZInQg0RjuNq3feenCI,40.38867930000001,-3.731109300000001
