nombre,postal,calle,numero,cocina,lat,lon,wheelchair
La Gamella,,,,,40.4189239,-3.6890563,
Vips,,,,international,40.3486886,-3.8493533,
Asador La Hontanilla,,,,,41.06058,-3.5281886,
La Bombilla,,,,,42.4671338,-2.4475031,
Bitacora,,,,,36.8745766,-2.015551,
restaurante astorga,,,,,38.3468766,-0.494505,
Bar La Candelilla,,,,,27.946412,-15.6119408,
Las Rosas,,,,,28.0011624,-15.5696313,
Casa Fernando,,,,,27.9064187,-15.6698916,
Doña Juana,,,,,41.8542611,-1.9267279,
Arzak jatetxea,20015,Jose Elosegi Alkatea,273,,43.3214757,-1.9492364,
Sol y Luna,,,,,38.6858809,1.4495556,
,,,,,38.3517361,-0.666322,
El Flare,,,,,38.2720239,-0.9415466,
,,,,,38.3050666,-0.9353881,
Ses Feixes,,,,,38.7139653,1.4615755,
Muíño Daniel o Ferreiro,,,,,42.4330383,-8.7809071,
Blue Bar,,,,,38.6809793,1.4808606,
Plaza,,,,,38.7056409,1.4288948,
La Tortuga,,,,,38.6998687,1.4653547,
Sa Parada,,,,,38.7017506,1.4630286,
Can Blaiet,,,,,38.6700478,1.553943,
Pequeña Isla,,,,,38.6698049,1.5539216,
Es Cap,,,,,38.6865926,1.4191283,
El Sueno,,,,,38.7105037,1.410718,
Fonda Pepe,,Carrer Major,51,,38.7072268,1.4585481,no
Can Forn,,,,,38.70787,1.4588247,no
Macondo,,,,italian,38.7066323,1.4584769,no
tres60,,,,,38.7066876,1.4589733,
Sa Platgeta,,,,,38.6857161,1.4539814,
Real Playa,,,,,38.6836227,1.4731134,
El Paraiso,,,,,38.6794621,1.4841989,
Pelayo,,,,,38.6852955,1.447872,
Restaurante Cabo la Nao,03730,,,,38.7333612,0.2302382,
Restaurante El Mirador de Jávea,,,,,38.7327795,0.2288637,
Restaurante Café Bar Regina,,,,,36.9987161,-3.26407,
Restaurante Baeza & Rufete,03540,Avenida de Ansaldo,31,regional,38.3686514,-0.4334877,
La Tagliatella,,,,italian,38.3629134,-0.4304898,
cervecería Max,,,,,38.3687039,-0.4348772,
Dragonfly,,,,,36.2340324,-5.3163717,
DBlanco Beach Club,,,,,36.2337006,-5.3149566,
BioPizza,,,,,36.2343951,-5.316628,
L'arruz,,,,,38.3654754,-0.4322083,
,,,,,43.4270527,-8.1285305,
El Pikinini,,,,,36.8799718,-2.0052563,
Bayari,,,,,38.3676002,-0.4272925,
La Lonja de Andrino,,,,,38.3676363,-0.4272065,
Mesón El Puente Romano,,,,,43.3504186,-5.1325644,
Restaurante La Fabada,,,,,43.3471015,-5.088374,
Casa Manuela,,,,,43.3513542,-5.12954,
Coll de Rates,,,,international,38.7239459,-0.0602475,
Restaurante El Abuelo,,Avenida de Covadonga,29,,43.3510757,-5.1267152,
Casa Fabiola,,,,,43.3278935,-4.5807187,
Restaurante Casa Tomás,31495,Calle 13 de Septiembre,1,regional,42.5235052,-1.5613189,no
Carabela,,,,steak_house,39.8416147,3.1290313,
La Casa Gallega,,,,galician,39.8422716,3.1328919,
New Cacao,,,,,39.8427692,3.1330542,
Ven Sol,,,,,39.8424682,3.1296392,
la Villa,,,,,39.8417257,3.1339125,
Dakota,,,,mexican,39.8418371,3.1325541,
Piero Rossi,,,,,39.8387615,3.1320495,
Aqua,,,,,39.8376079,3.1316769,
Las Sirenas,,,,,39.8414252,3.1339146,
Garlanda,07400,Carrer dels Pins,,,39.8419182,3.1347832,
Samira,,,,,39.8421035,3.1347886,
Donna Julieta,07400,Carrer dels Pins,,,39.8418481,3.1347028,
La Recgleta,,,,,39.8421282,3.1340376,
Dulcinea,,,,,39.8419629,3.1339609,
Gran China,,,,,39.8416469,3.1316087,
Bar Playa,,,,,39.8415361,3.1319578,
Pipper's,,,,,39.8415501,3.1320822,
Sa Taverne des Port,,,,,39.8391924,3.1323134,
Bistro Mar,,,,mediterranean,39.839471,3.1324324,yes
sa Gavina,,,,,39.8415806,3.1317282,
Varadero,,,,,39.8389877,3.1322708,
s'Espiga,,Passeig Marítim,18,pizza,39.841037,3.1354755,
Sa Bota,,Passeig Marítim,16,,39.841033,3.135558,
La Cabaña,07400,Passeig Marítim,14,spanish,39.8410096,3.1356847,
Nova Marina,,,,,39.8408001,3.1362514,
Miramar,07410,Passeig Marítim,2,,39.8407448,3.1368365,
Mar de Brasas,,,,,39.8398025,3.1377072,
Restaurante El Barquito de Sonia,07400,Carrer de Gabriel Roca,11,fish;mediterranean;italian;spanish,39.8391848,3.1382525,yes
Blau Marítim,,,,,39.8387466,3.1388626,
Bahía,,,,,39.8386889,3.1389914,
Bar Lovento,,,,,39.8386415,3.1394232,
Cantina,28050,Calle del Príncipe Carlos,,,40.4936118,-3.6554348,
,,,,,42.1880797,-2.1776391,
Restaurante Nan-King,,,,,38.3626861,-0.4314512,
MON-T-Roig,,L-3030 KM 11.5,,spanish,41.74325,1.182583,
El Nautico,,,,,40.5903124,-4.048332,
Casa del Mar,,,,regional,28.6514836,-17.9450805,
Bar Restaurante de San Vicente de Labuerda,,,,,42.4685674,0.1081412,
Mònaco,,,,,39.7677186,3.1484596,
Istanbul pizza & kebab,,,,,39.7680262,3.1486169,
La Famiglia,,,,,39.7670972,3.1473438,
China Town,,,,,39.7674421,3.1477707,
Dakota grill & Bar,,,,,39.7679495,3.1485044,
Vinicius,,,,,39.7668211,3.1473604,yes
Restaurante El Leñador,,,,,37.6788728,-0.9705656,
Pizzeria Voy Volando,,,,,37.3573161,-2.2980455,
Restaurante 222,03183,Avenida Alfredo Nobel,2,,37.9847411,-0.6579684,
K'la yaya,,,,,37.3557754,-2.298885,
Dulcería Chelo's,,,,,37.3571557,-2.2990207,
Pizzeria Laif,,,,,37.3555595,-2.2961966,
El Guijo,,,,,41.9998745,-5.6649647,
Jardines Alberto,,,,,37.1741866,-3.5852181,
sa Masia,,,,,39.5275744,2.4842588,
Miguel,07180,Avinguda Rei Jaume I,92,regional,39.5141667,2.481416,
,,,,,38.5778148,-0.0644802,
,,,,,40.6385755,-4.1527447,
Pizzeria Maria,,,,,37.3881734,-5.9218547,
Cafetería Rui,,,,,37.387228,-5.9217397,
,,,,,37.3875844,-5.9199692,
,,,,,37.3886379,-5.9210132,
,,,,,37.3881693,-5.9206068,
Chino Chang,,,,chinese,36.5573544,-4.6133958,
,,,,,37.3520591,-2.3027663,
Restaurante Cueva de Nerja,,,,,36.7617169,-3.8450181,
,,,,,37.3457305,-2.2920233,
Los Membrivos,,,,,37.3361031,-2.3007509,
Pizzeria Pepperone,,,,,37.3336113,-2.3020992,
Bar La Plaza,,,,,37.332452,-2.3046539,
Chamonix - Comida Italiana,,,,,37.359794,-2.3000679,
Meson de Huitar,,,,,37.366249,-2.3054768,
La Pilastra del Torero,29400,Calle de Armiñan,1,,36.7404305,-5.1652921,
Bar Clemente,,,,,36.738201,-5.1630797,yes
Duquesa de Parcent,,,,,36.7394771,-5.1662238,
,,,,,36.5953187,-4.6365274,
El Mirlo Blanco,,,,spanish,36.5942341,-4.6387693,
La Villa,,,,spanish,36.9414015,-1.9337484,
La Palmera,,,,spanish,36.9395705,-1.9329027,
Sotavento,,,,pizza,36.940284,-1.9342702,
Es Codol Foradat,,,,,38.6784561,1.4865936,
Madrid,,,,,37.3586386,-2.2631643,
Restaurante Ágora,,,,,37.3617972,-2.2629699,
La Tejera,,,,,37.3564152,-2.286333,
Casa Alvaro,,,,,28.5700527,-16.1588948,
Akelarre,,Aita Orkolaga pasealekua,56,,43.3077826,-2.0431538,
El Rincón de las Tablas,,,,,40.4958129,-3.6755645,
Cap del Port,,,,,42.6639708,0.9804753,
Bar-Restaurante La Parada,,,,,40.4512504,-3.5813898,
Bar los Arcos,,,,,40.4512553,-3.5815503,
Sa Duaia,,,,,39.7416876,3.4044405,
Cota 2000,,,,,42.5662961,0.5437005,
Bibelot,,,,,36.8383732,-2.4660807,
Pizzeria Da Bruno,,,,,36.8382463,-2.4650313,
El Rosario,,,,,40.4829998,-3.6940691,
El Escondite Jamonal,,,,,40.4833027,-3.6958009,
Sa Cova,07590,Cala Lliteras,,regional,39.7202798,3.4616683,
Goiko Grill,,,,,40.5302584,-3.6384537,
El Oso,,,,,40.5059739,-3.6572587,
Las Ventas de Diego de Velázquez,,Calle Ramón Rubial,6,,40.3167699,-3.7328316,
Ôven,,,,,40.5045383,-3.6748903,
La Lola,,,,,40.5059631,-3.6746957,
Bayari,,,,,38.3672345,-0.4251845,
Touch,,,,,38.3667719,-0.4292934,
Restaurante Tailandés Sabatika,,,,thai,38.3663084,-0.4304591,yes
La Gamba,,,,,38.3644441,-0.4314241,
